39635,1000,973,957,1000,0.0073,0.0003,0.0030,0.0041,255,254
39640,999,972,957,1000,0.0055,0.0004,-0.0013,0.0031,255,254
39645,1000,972,956,1000,0.0073,0.0004,0.0063,0.0041,255,254
39650,999,972,956,1000,0.0060,0.0004,-0.0021,0.0033,255,254
39655,999,972,952,1000,0.0078,0.0004,0.0049,0.0043,255,254
39660,1000,972,951,1000,0.0096,0.0004,0.0041,0.0054,255,254
39665,1000,972,947,1000,0.0115,0.0005,0.0046,0.0064,255,254
39670,1000,973,943,1000,0.0138,0.0005,0.0052,0.0077,255,254
39675,1000,973,938,1000,0.0161,0.0005,0.0027,0.0089,255,254
39680,1000,973,931,1000,0.0194,0.0006,0.0078,0.0108,255,253
39685,1000,972,926,1000,0.0212,0.0006,0.0022,0.0118,255,254
39690,1000,973,922,1000,0.0236,0.0007,0.0025,0.0131,255,253
39695,1000,974,917,1000,0.0264,0.0008,0.0045,0.0146,255,253
39700,999,976,909,1000,0.0297,0.0009,0.0070,0.0165,255,253
39705,999,977,904,1000,0.0325,0.0009,0.0051,0.0180,255,253
39710,1000,978,895,1000,0.0386,0.0010,0.0090,0.0214,255,253
39715,1000,977,883,1000,0.0438,0.0012,0.0062,0.0244,255,252
39720,1000,976,867,1000,0.0511,0.0013,0.0125,0.0284,255,252
39725,1000,981,853,996,0.0658,0.0015,0.0210,0.0366,255,251
39730,1000,982,832,984,0.0938,0.0017,0.0590,0.0521,255,248
39735,1000,973,802,971,0.1240,0.0019,0.0591,0.0689,255,247
39740,969,845,685,851,0.2762,0.0025,0.2584,0.1534,255,233
39745,725,560,474,605,0.3396,0.0034,0.1572,0.1887,255,234
39750,533,371,325,479,0.2192,0.0041,-0.2112,0.1218,255,254
39755,400,252,239,367,0.1603,0.0047,-0.1364,0.0890,255,253
39760,289,164,167,287,0.0060,0.0050,-0.4312,0.0033,238,255
39765,201,96,114,214,-0.1642,-0.0002,-0.3630,-0.0912,233,255
39770,141,57,75,166,-0.3813,-0.0008,-0.7845,-0.2118,138,231
39775,100,26,51,128,-0.6433,-0.0021,-0.9570,-0.3574,120,249
39780,77,10,29,102,-0.7761,-0.0041,0.6615,-0.4312,180,189
39785,21,10,21,83,-2.6267,-0.0052,-7.9338,-1.4593,85,255
39790,55,6,17,68,-0.6164,-0.0074,0.9383,-0.3425,197,172
39795,54,5,5,60,-0.2613,-0.0085,0.4926,-0.1452,193,176
39800,47,0,4,57,-0.5667,-0.0107,-0.0478,-0.3148,159,210
39805,54,0,4,50,0.1333,0.0001,0.9049,0.0741,226,143
39810,51,5,0,53,-0.0165,0.0000,-0.6342,-0.0092,158,211
39815,58,6,4,59,-0.0142,0.0000,-0.5105,-0.0079,164,205
39820,71,9,9,68,0.1032,0.0000,0.5126,0.0573,209,160
39825,84,7,15,88,-0.1856,-0.0004,0.5196,-0.1031,198,171
39830,101,19,25,104,-0.1084,-0.0001,-0.2726,-0.0602,169,200
39835,135,44,39,131,0.0877,0.0001,-0.0270,0.0487,187,182
39840,174,58,62,166,0.0783,0.0004,-0.1556,0.0435,181,188
39845,238,74,84,234,0.0057,0.0000,-0.0719,0.0032,252,255
39850,341,105,123,333,0.0120,0.0002,-0.3573,0.0067,241,255
39855,486,148,148,479,0.0300,0.0000,0.0940,0.0167,255,250
39860,731,212,215,751,-0.0594,-0.0001,-0.0385,-0.0330,251,255
39865,704,198,196,712,-0.0219,-0.0000,0.0074,-0.0122,254,255
39870,615,182,192,606,0.0192,0.0000,0.0774,0.0107,255,251
39875,554,146,192,526,0.0482,0.0002,-0.3458,0.0268,243,255
39880,520,134,168,497,0.0478,0.0004,-0.1069,0.0265,252,255
39885,542,151,174,515,0.0755,0.0007,-0.2730,0.0420,247,255
39890,586,166,201,575,-0.0024,-0.0000,-0.1985,-0.0013,246,255
39895,645,190,205,696,-0.1742,-0.0003,-0.0857,-0.0968,244,255
39900,782,205,227,776,-0.0036,-0.0006,0.4107,-0.0020,255,238
39905,753,204,192,756,0.0028,0.0000,0.2688,0.0016,255,244
39910,760,200,181,712,0.1583,0.0004,0.0307,0.0880,255,247
39915,820,233,195,751,0.2206,0.0009,0.0990,0.1226,255,242
39920,751,242,188,661,0.3166,0.0017,0.1417,0.1759,255,236
39925,707,230,144,591,0.4672,0.0028,0.3300,0.2596,255,222
39930,705,233,151,549,0.6044,0.0040,0.4366,0.3358,255,213
39935,713,208,146,574,0.5254,0.0054,0.0218,0.2919,255,232
39940,803,269,171,626,0.6058,0.0070,0.3298,0.3365,255,217
39945,883,280,163,686,0.6334,0.0088,0.0170,0.3519,255,228
39950,893,263,189,686,0.6160,0.0105,0.1170,0.3422,255,225
39955,765,234,149,613,0.5530,0.0121,-0.1346,0.3072,255,237
39960,726,229,163,583,0.5238,0.0138,-0.2306,0.2910,255,242
39965,692,208,158,605,0.3366,0.0150,-0.4386,0.1870,251,255
39970,729,208,162,648,0.2978,0.0160,-0.2654,0.1654,255,253
39975,803,212,204,738,0.1867,0.0166,-0.3385,0.1037,249,255
39980,734,187,197,673,0.1739,0.0171,-0.2085,0.0966,254,255
39985,648,160,204,652,-0.0606,-0.0001,-0.1095,-0.0337,248,255
39990,601,155,222,687,-0.3514,-0.0010,-0.1678,-0.1952,234,255
39995,637,183,269,781,-0.4986,-0.0023,-0.0354,-0.2770,233,255
40000,691,161,317,854,-0.5739,-0.0037,-0.3304,-0.3188,218,255
40005,636,157,288,820,-0.6467,-0.0055,-0.0063,-0.3593,228,255
40010,606,127,300,812,-0.7717,-0.0073,-0.4609,-0.4287,205,255
40015,675,157,270,815,-0.5005,-0.0090,0.2321,-0.2780,243,255
40020,705,143,265,842,-0.4907,-0.0105,0.1270,-0.2726,240,255
40025,705,157,254,823,-0.4187,-0.0115,0.1481,-0.2326,243,255
40030,713,160,273,832,-0.4277,-0.0126,-0.3439,-0.2376,223,255
40035,700,160,235,778,-0.2970,-0.0134,0.0174,-0.1650,243,255
40040,693,153,228,769,-0.2959,-0.0142,-0.2208,-0.1644,233,255
40045,730,168,221,790,-0.2197,-0.0149,0.1118,-0.1221,250,255
40050,700,164,226,756,-0.2243,-0.0154,-0.1069,-0.1246,241,255
40055,633,181,185,662,-0.0986,-0.0157,-0.0067,-0.0548,250,255
40060,573,161,145,548,0.1148,0.0001,0.2805,0.0638,255,239
40120,606,203,145,553,0.2592,0.0108,-0.0836,0.1440,255,247
40125,602,183,141,536,0.2955,0.0115,0.1187,0.1642,255,237
40130,636,212,141,578,0.2814,0.0124,-0.2518,0.1563,255,253
40135,734,238,150,661,0.3099,0.0133,-0.1135,0.1722,255,246
40140,797,225,167,707,0.3114,0.0141,0.0235,0.1730,255,241
40145,782,216,166,678,0.3537,0.0149,0.3845,0.1965,255,224
40150,782,217,175,687,0.3163,0.0157,0.1737,0.1757,255,234
40155,773,212,178,681,0.3026,0.0166,-0.1160,0.1681,255,246
40160,757,204,172,653,0.3467,0.0175,0.0817,0.1926,255,237
40165,774,198,183,674,0.3100,0.0183,0.0616,0.1722,255,239
40170,773,204,168,674,0.3295,0.0190,0.1497,0.1831,255,235
40175,726,207,187,651,0.2490,0.0197,-0.3500,0.1383,251,255
40180,729,203,161,640,0.3209,0.0206,-0.1107,0.1783,255,245
40185,761,204,163,655,0.3624,0.0216,0.0635,0.2013,255,237
40190,763,229,166,690,0.2747,0.0224,-0.0969,0.1526,255,246
40195,747,222,171,674,0.2679,0.0232,0.0012,0.1488,255,243
40200,781,203,163,691,0.3036,0.0238,0.4374,0.1687,255,224
40205,759,208,166,668,0.3148,0.0245,0.3169,0.1749,255,228
40210,683,204,150,601,0.3297,0.0254,-0.1355,0.1832,255,246
40215,657,195,149,565,0.3701,0.0266,-0.2294,0.2056,255,248
40220,635,168,142,532,0.4083,0.0274,0.0459,0.2268,255,235
40225,639,187,161,545,0.3619,0.0284,0.0079,0.2010,255,239
40230,674,191,158,591,0.3145,0.0293,0.1237,0.1747,255,236
40235,738,204,171,673,0.2298,0.0300,-0.0633,0.1277,255,247
40240,776,212,183,720,0.1875,0.0304,0.2320,0.1042,255,237
40245,653,169,191,644,0.0054,0.0305,-0.1350,0.0030,251,255
40250,606,162,188,597,0.0012,0.0000,0.2043,0.0006,255,246
40255,558,156,189,584,-0.1344,-0.0001,-0.3683,-0.0746,234,255
40315,590,156,162,565,0.0843,0.0021,0.0878,0.0468,255,248
40320,598,153,150,553,0.1708,0.0026,-0.1311,0.0949,255,253
40325,641,165,133,561,0.3264,0.0035,0.0496,0.1813,255,239
40330,688,174,172,660,0.0914,0.0041,-0.5073,0.0508,238,255
